SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|5|2023-02-01 13:09:59.422|TAG|-0.792|0.07|0.175|A|5|0
stairs|5|2023-02-01 13:09:59.430|TAG|-0.726|0.156|0.125|A|5|0
stairs|5|2023-02-01 13:09:59.438|TAG|-0.671|0.171|0.062|A|5|0
stairs|5|2023-02-01 13:09:59.446|TAG|-0.597|0.167|-0.027|A|5|0
stairs|5|2023-02-01 13:09:59.454|TAG|-0.558|0.156|-0.05|A|5|0
stairs|5|2023-02-01 13:09:59.461|TAG|-0.574|0.187|-0.027|A|5|0
stairs|5|2023-02-01 13:09:59.469|TAG|-0.539|0.148|-0.062|A|5|0
stairs|5|2023-02-01 13:09:59.477|TAG|-0.507|-0.019|-0.105|A|5|0
stairs|5|2023-02-01 13:09:59.485|TAG|-0.519|-0.171|-0.183|A|5|0
stairs|5|2023-02-01 13:09:59.493|TAG|-0.597|-0.253|-0.226|A|5|0
stairs|5|2023-02-01 13:09:59.501|TAG|-0.796|-0.23|-0.113|A|5|0
stairs|5|2023-02-01 13:09:59.508|TAG|-0.855|-0.246|0.039|A|5|0
stairs|5|2023-02-01 13:09:59.516|TAG|-0.933|-0.226|0.14|A|5|0
stairs|5|2023-02-01 13:09:59.524|TAG|-0.996|-0.253|0.257|A|5|0
stairs|5|2023-02-01 13:09:59.532|TAG|-1.042|-0.261|0.253|A|5|0
stairs|5|2023-02-01 13:09:59.540|TAG|-1.074|-0.214|0.226|A|5|0
stairs|5|2023-02-01 13:09:59.548|TAG|-1.062|-0.152|0.144|A|5|0
stairs|5|2023-02-01 13:09:59.555|TAG|-1.015|-0.132|0.027|A|5|0
stairs|5|2023-02-01 13:09:59.563|TAG|-0.949|-0.117|-0.14|A|5|0
stairs|5|2023-02-01 13:09:59.571|TAG|-0.886|-0.132|-0.253|A|5|0
stairs|5|2023-02-01 13:09:59.579|TAG|-0.804|-0.167|-0.304|A|5|0
stairs|5|2023-02-01 13:09:59.587|TAG|-0.765|-0.144|-0.246|A|5|0
stairs|5|2023-02-01 13:09:59.594|TAG|-0.722|-0.156|-0.203|A|5|0
stairs|5|2023-02-01 13:09:59.602|TAG|-0.691|-0.183|-0.183|A|5|0
stairs|5|2023-02-01 13:09:59.610|TAG|-0.687|-0.214|-0.269|A|5|0
stairs|5|2023-02-01 13:09:59.618|TAG|-0.671|-0.195|-0.359|A|5|0
stairs|5|2023-02-01 13:09:59.626|TAG|-0.66|-0.156|-0.488|A|5|0
stairs|5|2023-02-01 13:09:59.633|TAG|-0.66|-0.117|-0.554|A|5|0
stairs|5|2023-02-01 13:09:59.641|TAG|-0.683|-0.07|-0.644|A|5|0
stairs|5|2023-02-01 13:09:59.649|TAG|-0.75|-0.015|-0.707|A|5|0
stairs|5|2023-02-01 13:09:59.657|TAG|-0.89|0.015|-0.691|A|5|0
stairs|5|2023-02-01 13:09:59.665|TAG|-1.046|0.109|-0.617|A|5|0
stairs|5|2023-02-01 13:09:59.672|TAG|-1.234|0.199|-0.484|A|5|0
stairs|5|2023-02-01 13:09:59.680|TAG|-1.644|0.214|-0.183|A|5|0
stairs|5|2023-02-01 13:09:59.688|TAG|-1.996|0.285|-0.039|A|5|0
stairs|5|2023-02-01 13:09:59.696|TAG|-2.191|0.328|0.007|A|5|0
stairs|5|2023-02-01 13:09:59.704|TAG|-2.183|0.328|-0.054|A|5|0
stairs|5|2023-02-01 13:09:59.712|TAG|-1.898|0.214|-0.152|A|5|0
stairs|5|2023-02-01 13:09:59.719|TAG|-1.617|0.136|-0.304|A|5|0
stairs|5|2023-02-01 13:09:59.727|TAG|-1.371|0.089|-0.324|A|5|0
stairs|5|2023-02-01 13:09:59.735|TAG|-1.136|0.05|-0.281|A|5|0
stairs|5|2023-02-01 13:09:59.743|TAG|-1.011|0.027|-0.226|A|5|0
stairs|5|2023-02-01 13:09:59.751|TAG|-0.937|0.007|-0.179|A|5|0
stairs|5|2023-02-01 13:09:59.758|TAG|-0.906|-0.015|-0.152|A|5|0
stairs|5|2023-02-01 13:09:59.766|TAG|-0.906|-0.023|-0.105|A|5|0
stairs|5|2023-02-01 13:09:59.774|TAG|-0.933|-0.023|-0.082|A|5|0
stairs|5|2023-02-01 13:09:59.782|TAG|-0.996|-0.023|-0.078|A|5|0
stairs|5|2023-02-01 13:09:59.790|TAG|-1.054|-0.015|-0.078|A|5|0
stairs|5|2023-02-01 13:09:59.797|TAG|-1.175|0.007|-0.101|A|5|0
stairs|5|2023-02-01 13:09:59.805|TAG|-1.199|0.027|-0.105|A|5|0
stairs|5|2023-02-01 13:09:59.813|TAG|-1.179|0.058|-0.105|A|5|0
stairs|5|2023-02-01 13:09:59.821|TAG|-1.121|0.093|-0.082|A|5|0
stairs|5|2023-02-01 13:09:59.829|TAG|-1.093|0.117|-0.089|A|5|0
stairs|5|2023-02-01 13:09:59.836|TAG|-1.082|0.148|-0.093|A|5|0
stairs|5|2023-02-01 13:09:59.844|TAG|-1.074|0.156|-0.105|A|5|0
stairs|5|2023-02-01 13:09:59.852|TAG|-1.074|0.207|-0.117|A|5|0
stairs|5|2023-02-01 13:09:59.860|TAG|-1.035|0.187|-0.109|A|5|0
